id,heart_rate,stress_level,emotion_label,facial_expression_score,eye_movement_intensity,sleep_hours,thought_pattern,focus_score,mood_stability,social_interaction_level,memory_load,voice_tone,motivation_score,relationship_state,mental_energy_level,music_type_preference,activity_type,brainwave_pattern,emotion_intensity,mindset_label,predicted_behavior
1,98,1,Neutral,0.64,0.77,6.9,Balanced,0.05,0.78,7,1,Aggressive,0.92,In Relationship,1,Rock,Study,0.73,0.19,Negative,Emotionally unstable
2,111,9,Happy,0.55,0.1,8.3,Logical,0.38,0.22,9,3,Calm,0.95,Heartbroken,7,Rock,Study,0.34,0.54,Neutral,Sad but stable
3,88,6,Happy,0.09,0.33,4.8,Logical,0.36,0.14,3,2,Shaky,0.58,Single,3,Chill,Exercise,0.48,0.65,Mixed,Distracted
4,74,3,Neutral,0.73,0.08,4.4,Logical,1.0,0.66,4,8,Calm,0.36,Heartbroken,5,Classical,Social Media,0.93,0.05,Negative,Focused
5,102,4,Fear,0.55,0.75,3.6,Logical,0.45,0.0,8,6,Aggressive,0.79,Single,10,Romantic,Rest,0.33,0.95,Positive,Emotionally unstable
6,67,4,Happy,0.45,0.27,5.3,Distracted,0.33,0.18,6,9,Excited,0.25,Single,4,Rock,Rest,0.47,0.84,Positive,Motivated & productive
7,80,3,Neutral,0.91,0.9,6.9,Logical,0.58,0.03,5,8,Aggressive,0.56,In Relationship,10,Classical,Social Media,0.01,0.3,Negative,Sad but stable
8,98,10,Love,0.3,0.53,3.8,Logical,0.09,0.17,4,10,Excited,0.36,Single,5,Romantic,Rest,0.08,0.08,Negative,Focused
9,117,3,Angry,0.52,0.8,5.6,Logical,0.96,0.18,8,3,Excited,0.66,Single,5,Rock,Study,0.26,0.17,Negative,Motivated & productive
10,78,3,Angry,0.7,0.98,3.1,Logical,0.63,0.39,1,5,Calm,0.24,In Relationship,6,Romantic,Rest,0.03,0.13,Neutral,Motivated & productive
11,82,4,Happy,0.8,0.84,8.7,Balanced,0.75,0.4,9,7,Aggressive,0.19,Heartbroken,10,Classical,Rest,0.63,0.12,Positive,Distracted
12,70,7,Fear,0.46,0.87,3.9,Logical,0.17,0.87,1,5,Shaky,0.92,Single,10,Sad,Social Media,0.43,0.52,Neutral,Distracted
13,70,4,Fear,0.84,0.41,5.0,Balanced,0.41,0.51,8,8,Aggressive,0.1,In Relationship,6,Classical,Social Media,0.55,0.25,Neutral,Focused
14,83,9,Love,0.77,0.55,3.1,Distracted,0.42,0.72,4,5,Aggressive,0.51,Single,8,Chill,Rest,0.17,0.36,Mixed,Motivated & productive
15,112,1,Happy,0.07,0.25,6.0,Overthinking,0.82,0.1,9,1,Shaky,0.22,In Relationship,8,Romantic,Work,0.3,0.99,Positive,Distracted
16,95,8,Angry,0.05,0.2,8.9,Logical,0.0,0.23,5,5,Calm,0.04,Heartbroken,9,Sad,Social Media,0.66,0.68,Positive,Sad but stable
17,99,7,Fear,0.62,0.51,5.7,Overthinking,0.3,0.7,3,4,Aggressive,0.04,Heartbroken,8,Romantic,Exercise,0.97,0.95,Negative,Sad but stable
18,83,2,Happy,0.35,0.6,4.3,Overthinking,0.98,0.05,9,6,Aggressive,0.18,In Relationship,2,Romantic,Exercise,0.05,0.14,Negative,Motivated & productive
19,62,8,Confused,0.21,0.34,8.3,Distracted,0.47,0.49,9,3,Excited,0.87,In Relationship,10,Rock,Study,0.89,0.38,Mixed,Distracted
20,81,1,Fear,0.58,0.57,8.5,Overthinking,0.38,0.6,4,5,Aggressive,0.28,In Relationship,1,Chill,Rest,0.58,0.55,Neutral,Focused
21,112,9,Neutral,0.34,0.89,4.2,Balanced,0.12,0.6,4,2,Shaky,0.95,Heartbroken,10,Romantic,Work,0.56,0.08,Negative,Focused
